isbn,Author,Category,Author_NY,Title_NY,author_gender
141658661X,THOR BRAD,Suspense/Thrillers,Brad Thor,FULL BLACK,male
0062011847,PRATCHETT TERENCE DAVID JOHN,Fantasy,Terry Pratchett,SNUFF,male
0316406996,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Marshall Karp,NYPD RED 3,multi
0307595110,RICE ANNE,Romance,Anne Rice,THE WOLF GIFT,female
1451607296,MACLAINE SHIRLEY,Biography/Autobiography/Memoir,Shirley MacLaine,I&#39;M OVER ALL THAT,female
0446581194,PRESTON DOUGLAS J.,Nonfiction General,Douglas Preston with Mario Spezi,THE MONSTER OF FLORENCE,multi
0399176764,GREANEY MARK,Suspense/Thrillers,Mark Greaney,TOM CLANCY: COMMANDER IN CHIEF,multi
159523103X,KILMEADE BRIAN,History/Law/Political Science,Brian Kilmeade and Don Yaeger,GEORGE WASHINGTON&#39;S SECRET SIX,multi
0345505697,KELLERMAN JONATHAN,Horror/Occult/Psychological,Jonathan Kellerman,MYSTERY,male
0399154973,CUSSLER CLIVE,Action/Adventure,Clive Cussler with Jack Du Brul,PLAGUE SHIP,multi
080509329X,LOWE ROB,Biography/Autobiography/Memoir,Rob Lowe,STORIES I ONLY TELL MY FRIENDS,male
0425236595,FEEHAN CHRISTINE,Romance,Christine Feehan,DARK PERIL,female
1439172803,RAWLES JAMES WESLEY,Suspense/Thrillers,"James Wesley, Rawles",SURVIVORS,male
0307700666,WRIGHT LAWRENCE,Religion/Bibles,Lawrence Wright,GOING CLEAR,male
0062136747,SOLO HOPE,Health/Fitness/Medicine/Sports,Hope Solo with Ann Killion,SOLO,multi
1455504211,PAULSON HENRY M. JR.,Business/Economics,Henry M Paulson Jr,DEALING WITH CHINA,multi
0061779741,MOORE CHRISTOPHER,Fiction General,Christopher Moore,SACRÊ BLEU,male
1594206147,KISSINGER HENRY,History/Law/Political Science,Henry Kissinger,WORLD ORDER,male
0061430625,SUSKIND RON,History/Law/Political Science,Ron Suskind,THE WAY OF THE WORLD,male
0345505751,KELLERMAN JONATHAN,Suspense/Thrillers,Jonathan Kellerman,KILLER,male
0385532946,FRIEDMAN GEORGE,History/Law/Political Science,George Friedman,THE NEXT DECADE,male
0688163181,LEHANE DENNIS,Fiction General,Dennis Lehane,THE GIVEN DAY,male
1400065674,MITCHELL DAVID,Fiction General,David Mitchell,THE BONE CLOCKS,male
0446195510,BALDACCI DAVID,Fiction General,David Baldacci,TRUE BLUE,male
0805088156,BACEVICH ANDREW J.,History/Law/Political Science,Andrew Bacevich,THE LIMITS OF POWER,male
1594488932,ALABISO VINCENT,Biography/Autobiography/Memoir,with an introduction  Bill Keller and biographical text  Jill Abramson,OBAMA,multi
0061967556,SHLAES AMITY,Biography/Autobiography/Memoir,Amity Shlaes,COOLIDGE,female
1439102392,REICHS KATHY,Suspense/Thrillers,Kathy Reichs,SPIDER BONES,female
0374275637,KAHNEMAN DANIEL,Nonfiction General,Daniel Kahneman,"THINKING, FAST AND SLOW",male
0670024813,DIAMOND JARED M.,History/Law/Political Science,Jared Diamond,THE WORLD UNTIL YESTERDAY,male
0316322407,YOUSAFZAI MALALA,Biography/Autobiography/Memoir,Malala Yousafzai with Christina Lamb,I AM MALALA,multi
030726579X,BINCHY MAEVE,Fiction General,Maeve Binchy,HEART AND SOUL,female
0062241451,SPENCER-WENDEL SUSAN,Biography/Autobiography/Memoir,Susan Spencer-Wendel with Bret Witter,UNTIL I SAY GOOD-BYE,multi
0307959759,CLINTON BILL ETC,History/Law/Political Science,Bill Clinton,BACK TO WORK,male
0307959856,JAMES P. D.,Mystery/Detective,P D James,DEATH COMES TO PEMBERLEY,female
0062196693,MORRIS DICK,History/Law/Political Science,Dick Morris and Eileen McGann,SCREWED!,multi
0345543084,EVANOVICH JANET,Suspense/Thrillers,Janet Evanovich and Lee Goldberg,THE CHASE,multi
039917088X,ROBB J. D.,Mystery/Detective,J D Robb,DEVOTED IN DEATH,unknown
0061961272,FRANK DOROTHEA BENTON,Fiction General,Dorothea Benton Frank,FOLLY BEACH,female
0310289025,GOSSELIN JON,Biography/Autobiography/Memoir,"Jon Gosselin, Kate Gosselin and Beth Carson",MULTIPLE BLESSINGS,multi
081299342X,TAIBBI MATT,History/Law/Political Science,Matt Taibbi,THE DIVIDE,multi
145162607X,GREGORY PHILIPPA,Fiction General,Philippa Gregory,THE KINGMAKER&#39;S DAUGHTER,female
0307888754,MACINTYRE BEN,History/Law/Political Science,Ben Macintyre,DOUBLE CROSS,male
0061988448,MORRIS DICK,History/Law/Political Science,Dick Morris and Eileen McGann,2010 TAKE BACK AMERICA,multi
031269945X,WASDIN HOWARD E.,Biography/Autobiography/Memoir,Howard E Wasdin and Stephen Templin,SEAL TEAM SIX,multi
1400066123,ANGELOU MAYA,Biography/Autobiography/Memoir,Maya Angelou,LETTER TO MY DAUGHTER,female
0804139210,KESSLER RONALD,History/Law/Political Science,Ronald Kessler,THE FIRST FAMILY DETAIL,male
0399155155,WOODS STUART,Suspense/Thrillers,Stuart Woods,HOT MAHOGANY,male
1416591052,GWYNNE S. C.,Biography/Autobiography/Memoir,S C Gwynne,EMPIRE OF THE SUMMER MOON,unknown
0385338309,STEEL DANIELLE,Fiction General,Danielle Steel,FIRST SIGHT,female
0399156801,FORSYTH FREDERICK,Suspense/Thrillers,Frederick Forsyth,THE COBRA,male
0767919408,BRYSON BILL,History/Law/Political Science,Bill Bryson,ONE SUMMER,male
0345505514,BERRY STEVE,Suspense/Thrillers,Steve Berry,THE JEFFERSON KEY,male
1439102430,REICHS KATHY,Suspense/Thrillers,Kathy Reichs,BONES ARE FOREVER,female
1605290750,HAMMOND DARELL,Biography/Autobiography/Memoir,Darell Hammond,KABOOM!,multi
0670031607,LEARY DENIS,Humor,Denis Leary,WHY WE SUCK,male
1250019834,ALLEN SARAH ADDISON,Fiction General,Sarah Addison Allen,FIRST FROST,female
0312651619,SAVAGE MICHAEL,Suspense/Thrillers,Michael Savage,ABUSE OF POWER,male
0553804863,HOOPER KAY,Suspense/Thrillers,Kay Hooper,BLOOD TIES,female
0060883529,LEAVY JANE,Biography/Autobiography/Memoir,Jane Leavy,THE LAST BOY,female
031609983X,HILDERBRAND ELIN,Fiction General,Elin Hilderbrand,SUMMERLAND,female
1595230947,RUBIO MARCO,History/Law/Political Science,Marco Rubio,AMERICAN SON,male
0385539703,MCEWAN IAN,Suspense/Thrillers,Ian McEwan,THE CHILDREN ACT,male
0385536828,MCEWAN IAN,Mystery/Detective,Ian McEwan,SWEET TOOTH,male
0312380755,SCOTTOLINE LISA,Suspense/Thrillers,Lisa Scottoline,THINK TWICE,female
158542935X,SIEGEL DANIEL J.,Nonfiction General,Daniel J Siegel,BRAINSTORM,male
0307352145,CAIN SUSAN,Nonfiction General,Susan Cain,QUIET,female
0061993999,SCHUYLER NICK,Biography/Autobiography/Memoir,Nick Schuyler and Jere Longman,NOT WITHOUT HOPE,multi
0385343221,STEEL DANIELLE,Fiction General,Danielle Steel,WINNERS,female
0399157530,WHITE BETTY,Biography/Autobiography/Memoir,Betty White,IF YOU ASK ME,female
145558116X,BROWN SANDRA,Suspense/Thrillers,Sandra Brown,FRICTION,female
1439127700,GIBBS NANCY,Biography/Autobiography/Memoir,Nancy Gibbs and Michael Duffy,THE PRESIDENTS CLUB,multi
0345530942,STEEL DANIELLE,Fiction General,Danielle Steel,A PERFECT LIFE,female
0345505670,KELLERMAN JONATHAN,Suspense/Thrillers,Jonathan Kellerman,DECEPTION,male
0805092994,KOLBERT ELIZABETH,Reference,Elizabeth Kolbert,THE SIXTH EXTINCTION,female
1451628188,EVANS RICHARD PAUL,Fiction General,Richard Paul Evans,THE ROAD TO GRACE,male
0345509129,GOLDEN CHRISTIE,Science Fiction,Christie Golden,OMEN,female
0312546599,KENYON SHERRILYN,Romance,Sherrilyn Kenyon,RETRIBUTION,female
0062238396,HOUSTON CISSY,Biography/Autobiography/Memoir,Cissy Houston with Lisa Dickey,REMEMBERING WHITNEY,multi
081299695X,BRILL STEVEN,History/Law/Political Science,Steven Brill,AMERICA&#39;S BITTER PILL,male
0399156836,GRIFFIN W. E. B.,Action/Adventure,W E B Griffin and William E Butterworth IV,THE OUTLAWS,multi
1451681739,STEDMAN M. L.,Fiction General,M L Stedman,THE LIGHT BETWEEN OCEANS,unknown
0446563080,GRAHAME-SMITH SETH,Horror/Occult/Psychological,Seth Grahame-Smith,ABRAHAM LINCOLN: VAMPIRE HUNTER,male
0805095837,COHEN ANDY,Biography/Autobiography/Memoir,Andy Cohen,MOST TALKATIVE,male
0399156763,CUSSLER CLIVE,Action/Adventure,Clive Cussler with Grant Blackwood,LOST EMPIRE,multi
0345505735,KELLERMAN JONATHAN,Suspense/Thrillers,Jonathan Kellerman,GUILT,male
0399155473,WOODS STUART,Suspense/Thrillers,Stuart Woods,MOUNTING FEARS,male
0778329836,MACOMBER DEBBIE,Fiction General,Debbie Macomber,A TURN IN THE ROAD,female
0385343159,STEEL DANIELLE,Fiction General,Danielle Steel,PRODIGAL SON,female
1250067057,WILLINK JOCKO,Business/Economics,Jocko Willink and Leif Babin,EXTREME OWNERSHIP,multi
0399169113,WOODS STUART,Action/Adventure,Stuart Woods,CUT AND THRUST,male
0385340257,STEEL DANIELLE,Romance,Danielle Steel,ROGUE,female
081299339X,DUHIGG CHARLES,Business/Economics,Charles Duhigg,SMARTER FASTER BETTER,male
0307378403,MCCALL SMITH ALEXANDER,Mystery/Detective,Alexander McCall Smith,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,male
0062330268,GAIMAN NEIL,Fiction General,Neil Gaiman,TRIGGER WARNING,male
0062107313,TAN AMY,Fiction General,Amy Tan,THE VALLEY OF AMAZEMENT,female
0062351427,FINK JOSEPH,Fantasy,Joseph Fink and Jeffrey Cranor,WELCOME TO NIGHT VALE,multi
0399167323,CUSSLER CLIVE,Suspense/Thrillers,Clive Cussler and Boyd Morrison,PIRANHA,multi
0399156909,SANDFORD JOHN,Suspense/Thrillers,John Sandford,BAD BLOOD,male
0385531389,CHILD LINCOLN,Suspense/Thrillers,Lincoln Child,THE THIRD GATE,male
0399157565,CORNWELL PATRICIA,Suspense/Thrillers,Patricia Cornwell,THE BONE BED,female
0544272889,EGAN TIMOTHY,Biography/Autobiography/Memoir,Timothy Egan,THE IMMORTAL IRISHMAN,male
1594205191,MILLS MARJA,Biography/Autobiography/Memoir,Marja Mills,THE MOCKINGBIRD NEXT DOOR,female
1455517062,DEAVER JEFFERY,Suspense/Thrillers,Jeffery Deaver,THE KILL ROOM,male
0812992946,GORE ALBERT JR.,Nonfiction General,Al Gore,FUTURE,male
0399157263,PARKER ROBERT B.,Mystery/Detective,Robert B Parker,SIXKILL,male
0345534182,MCLAIN PAULA,Fiction General,Paula Mclain,CIRCLING THE SUN,female
1451661509,WALLS JEANNETTE,Fiction General,Jeannette Walls,THE SILVER STAR,female
1451662432,SCHWARZENEGGER ARNOLD,Biography/Autobiography/Memoir,Arnold Schwarzenegger with Peter Petre,TOTAL RECALL,male
0307987302,STEWART ROD,Biography/Autobiography/Memoir,Rod Stewart,ROD,male
0062346229,HAMILTON SUZY FAVOR,Biography/Autobiography/Memoir,Suzy Favor Hamilton with Sarah Tomlinson,FAST GIRL,female
125000098X,ARCHER JEFFREY,Fiction General,Jeffrey Archer,BEST KEPT SECRET,male
0385539282,BRYSON BILL,Travel,Bill Bryson,THE ROAD TO LITTLE DRIBBLING,male
0385343140,STEEL DANIELLE,Fiction General,Danielle Steel,44 CHARLES STREET,female
0399164154,WOODS STUART,Mystery/Detective,Stuart Woods,STANDUP GUY,male
0399154183,CORNWELL PATRICIA,Mystery/Detective,Patricia Cornwell,THE FRONT,female
1439191824,CARLIN PETER A.,Biography/Autobiography/Memoir,Peter Ames Carlin,BRUCE,male
0061578916,CORNWELL BERNARD,Fiction General,Bernard Cornwell,AGINCOURT,male
0061160881,GEORGE ELIZABETH A.,Mystery/Detective,Elizabeth George,THIS BODY OF DEATH,female
0061977969,STEPHENSON NEAL,Science Fiction,Neal Stephenson,REAMDE,male
1501115634,CARTER JIMMY,Biography/Autobiography/Memoir,Jimmy Carter,A FULL LIFE,male
0802123414,MACDONALD HELEN,Nonfiction General,Helen Macdonald,H IS FOR HAWK,female
0345534522,DEDMAN BILL,Biography/Autobiography/Memoir,Bill Dedman and Paul Clark Newell Jr,EMPTY MANSIONS,multi
0345495136,KELLERMAN JONATHAN,Fiction General,Jonathan Kellerman,BONES,male
1586489127,STOCKMAN DAVID A.,History/Law/Political Science,David Stockman,GREAT DEFORMATION,male
0670026328,FRENCH TANA,Suspense/Thrillers,Tana French,THE SECRET PLACE,female
0399158812,ROBB J. D.,Romance,J D Robb,DELUSION IN DEATH,unknown
147670869X,ISAACSON WALTER,Biography/Autobiography/Memoir,Walter Isaacson,THE INNOVATORS,male
141659910X,SPELLING TORI,Reference,Tori Spelling with Hilary Liftin,MOMMYWOOD,female
0399159266,CUSSLER CLIVE,Action/Adventure,Clive Cussler and Thomas Perry,THE TOMBS,multi
1400066212,KIDDER TRACY,Biography/Autobiography/Memoir,Tracy Kidder,STRENGTH IN WHAT REMAINS,male
0399157557,GRIFFIN W. E. B.,Fiction General,W E B Griffin and William E Butterworth IV,VICTORY AND HONOR,multi
1401324312,WALTRIP MICHAEL,Biography/Autobiography/Memoir,Michael Waltrip and Ellis Henican,IN THE BLINK OF AN EYE,multi
0385513534,GRANN DAVID,History/Law/Political Science,David Grann,THE LOST CITY OF Z,male
0345526511,BERRY STEVE,Suspense/Thrillers,Steve Berry,THE COLUMBUS AFFAIR,male
1400069696,BROKAW TOM,Biography/Autobiography/Memoir,Tom Brokaw,LUCKY LIFE INTERRUPTED,male
0062015540,BROWN SCOTT,Biography/Autobiography/Memoir,Scott Brown,AGAINST ALL ODDS,male
1596981008,STEYN MARK,History/Law/Political Science,Mark Steyn,AFTER AMERICA,male
1439158584,SWAYZE PATRICK,Biography/Autobiography/Memoir,Patrick Swayze and Lisa Niemi,THE TIME OF MY LIFE,multi
0399156429,CUSSLER CLIVE,Action/Adventure,Clive Cussler with Grant Blackwood,SPARTAN GOLD,multi
0385535309,RUTHERFURD EDWARD,Fiction General,Edward Rutherfurd,PARIS,male
0312567456,COLLINS JACKIE,Fiction General,Jackie Collins,POOR LITTLE BITCH GIRL,female
1250024978,RITLAND MIKE,Reference,Michael Ritland with Gary Brozek,TRIDENT K9 WARRIORS,multi
0786962232,SALVATORE R. A.,Fantasy,R A Salvatore,CHARON&#39;S CLAW,male
0345500776,GARWOOD JULIE,Romance,Julie Garwood,SIZZLE,female
0061490148,MCCORMICK MAUREEN,Biography/Autobiography/Memoir,Maureen McCormick,HERE&#39;S THE STORY,female
0312579977,BUCHANAN PATRICK J.,History/Law/Political Science,Patrick J Buchanan,SUICIDE OF A SUPERPOWER,male
1616082267,VENTURA JESSE,Nonfiction General,Jesse Ventura with Dick Russell,63 DOCUMENTS THE GOVERNMENT DOESN&#39;T WANT YOU TO READ,multi
0399155333,FRANCIS DICK,Suspense/Thrillers,Dick Francis and Felix Francis,SILKS,multi
0399169156,WOODS STUART,Action/Adventure,Stuart Woods,INSATIABLE APPETITES,male
0385351836,NOVAK B. J.,Fiction General,B J Novak,ONE MORE THING,male
0307266303,MCDOUGALL CHRISTOPHER,Health/Fitness/Medicine/Sports,Christopher McDougall,BORN TO RUN,male
0316065781,KOSTOVA ELIZABETH,Fiction General,Elizabeth Kostova,THE SWAN THIEVES,female
0345528506,SLAUGHTER KARIN,Mystery/Detective,Karin Slaughter,CRIMINAL,female
0525954570,GARDNER LISA,Suspense/Thrillers,Lisa Gardner,FIND HER,female
0670024856,GILBERT ELIZABETH,Fiction General,Elizabeth Gilbert,THE SIGNATURE OF ALL THINGS,female
0385342063,KINSELLA SOPHIE,Romance,Sophie Kinsella,I&#39;VE GOT YOUR NUMBER,female
0316036315,WOLFE TOM,Fiction General,Tom Wolfe,BACK TO BLOOD,male
0525954333,GEORGE ELIZABETH,Mystery/Detective,Elizabeth George,A BANQUET OF CONSEQUENCES,female
0399155945,PARKER ROBERT B.,Mystery/Detective,Robert B Parker,THE PROFESSIONAL,male
0743290119,WEISBERGER LAUREN,Fiction General,Lauren Weisberger,CHASING HARRY WINSTON,female
1439180911,WILKINSON KENDRA,Biography/Autobiography/Memoir,Kendra Wilkinson,SLIDING INTO HOME,female
1400067111,SEE LISA,Fiction General,Lisa See,SHANGHAI GIRLS,female
1439101191,ALTER JONATHAN,History/Law/Political Science,Jonathan Alter,THE PROMISE,male
039917575X,BLACKWOOD GRANT,Suspense/Thrillers,Grant Blackwood,TOM CLANCY UNDER FIRE,multi
0345526570,BERRY STEVE,Suspense/Thrillers,Steve Berry,THE LINCOLN MYTH,male
1621572552,LIMBAUGH DAVID,Religion/Bibles,David Limbaugh,JESUS ON TRIAL,male
0399157328,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter,BACKFIRE,female
0060888741,CORNWELL BERNARD,Fiction General,Bernard Cornwell,THE BURNING LAND,male
0399169164,WOODS STUART,Action/Adventure,Stuart Woods,HOT PURSUIT,male
039915714X,CUSSLER CLIVE,Action/Adventure,Clive Cussler and Dirk Cussler,CRESCENT DAWN,multi
0312380828,SCOTTOLINE LISA,Suspense/Thrillers,Lisa Scottoline,COME HOME,female
0385343167,STEEL DANIELLE,Fiction General,Danielle Steel,FAMILY TIES,female
0399157433,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter,SPLIT SECOND,female
0307265722,MANN CHARLES C.,History/Law/Political Science,Charles C Mann,1493,male
0805091203,MORGENSON GRETCHEN,Business/Economics,Gretchen Morgenson and Joshua Rosner,RECKLESS ENDANGERMENT,multi
1439187312,EVANS RICHARD PAUL,Fiction General,Richard Paul Evans,THE WALK,male
0374187614,ROBINSON MARILYNNE,Fiction General,Marilynne Robinson,LILA,female
0062294415,ALBOM MITCH,Fiction General,Mitch Albom,THE MAGIC STRINGS OF FRANKIE PRESTO,male
0061628018,WALL ELISSA,Biography/Autobiography/Memoir,Elissa Wall with Lisa Pulitzer,STOLEN INNOCENCE,multi
1627792287,COHEN ANDY,Biography/Autobiography/Memoir,Andy Cohen,THE ANDY COHEN DIARIES,male
0061719544,FERGUSON CRAIG,Biography/Autobiography/Memoir,Craig Ferguson,AMERICAN ON PURPOSE,male
125001011X,SCOTTOLINE LISA,Suspense/Thrillers,Lisa Scottoline,EVERY FIFTEEN MINUTES,female
0060393491,LAMB WALLY,Fiction General,Wally Lamb,THE HOUR I FIRST BELIEVED,male
0399159878,WOODS STUART,Mystery/Detective,Stuart Woods,UNINTENDED CONSEQUENCES,male
0765327740,GOODKIND TERRY,Fantasy,Terry Goodkind,SEVERED SOULS,male
0312655452,PENNY LOUISE,Mystery/Detective,Louise Penny,A TRICK OF THE LIGHT,female
1439187207,BECK GLENN,Fiction General,Glenn Beck,THE SNOW ANGEL,multi
0345509080,ALLSTON AARON,Science Fiction,Aaron Allston,BACKLASH,male
0525953078,GARDNER LISA,Suspense/Thrillers,Lisa Gardner,TOUCH AND GO,female
159420411X,SILVER NATE,Reference,Nate Silver,THE SIGNAL AND THE NOISE,male
0307269752,LARSSON STIEG,Suspense/Thrillers,Stieg Larsson,THE GIRL WITH THE DRAGON TATTOO,multi
1439192987,THOR BRAD,Suspense/Thrillers,Brad Thor,BLACK LIST,male
0307267679,DIDION JOAN,Biography/Autobiography/Memoir,Joan Didion,BLUE NIGHTS,female
0307463125,WOLFFE RICHARD,Biography/Autobiography/Memoir,Richard Wolffe,RENEGADE,male
0786958421,SALVATORE R. A.,Fantasy,R A Salvatore,NEVERWINTER,male
0060548924,MAGUIRE GREGORY,Fantasy,Gregory Maguire,A LION AMONG MEN,multi
0061845450,BRENKUS JOHN,Health/Fitness/Medicine/Sports,John Brenkus,THE PERFECTION POINT,male
0312364121,HANNAH KRISTIN,Fiction General,Kristin Hannah,WINTER GARDEN,female
0345544013,REICHS KATHY,Suspense/Thrillers,Kathy Reichs,BONES NEVER LIE,female
1455525839,PRESTON DOUGLAS J.,Suspense/Thrillers,Douglas Preston and Lincoln Child,WHITE FIRE,multi
0804137250,CLINE ERNEST,Science Fiction,Ernest Cline,ARMADA,male
0307265633,GREENE BRIAN,Reference,Brian Greene,THE HIDDEN REALITY,male
0670020745,TAYLOR JILL BOLTE,Biography/Autobiography/Memoir,Jill Bolte Taylor,MY STROKE OF INSIGHT,female
1451666136,CAIN HERMAN,History/Law/Political Science,Herman Cain,THIS IS HERMAN CAIN!,male
0399172920,CUSSLER CLIVE,Action/Adventure,Clive Cussler,HAVANA STORM,multi
0062049607,WINSPEAR JACQUELINE,Mystery/Detective,Jacqueline Winspear,LEAVING EVERYTHING MOST LOVED,female
1250029880,KENYON SHERRILYN,Romance,Sherrilyn Kenyon,STYXX,female
0765317680,PRESTON DOUGLAS,Suspense/Thrillers,Douglas Preston,IMPACT,male
0399158863,WOODS STUART,Mystery/Detective,Stuart Woods,UNNATURAL ACTS,male
0778326438,MACOMBER DEBBIE,Romance,Debbie Macomber,SUMMER ON BLOSSOM STREET,female
1455527203,TUROW SCOTT,Mystery/Detective,Scott Turow,IDENTICAL,male
0062213652,REYNOLDS DEBBIE,Biography/Autobiography/Memoir,Debbie Reynolds and Dorian Hannaway,UNSINKABLE,multi
0307273563,BINCHY MAEVE,Fiction General,Maeve Binchy,MINDING FRANKIE,female
0399163832,GRAFTON SUE,Fiction General,Sue Grafton,KINSEY AND ME,female
0307595609,EPHRON NORA,Humor,Nora Ephron,I REMEMBER NOTHING,female
0743292510,ILES GREG,Suspense/Thrillers,Greg Iles,THE DEVIL&#39;S PUNCHBOWL,male
0385530900,CONROY PAT,Biography/Autobiography/Memoir,Pat Conroy,THE DEATH OF SANTINI,female
0062311115,ILES GREG,Suspense/Thrillers,Greg Iles,THE BONE TREE,male
0060590319,MOORE CHRISTOPHER,Fiction General,Christopher Moore,FOOL,male
1594202834,YERGIN DANIEL,History/Law/Political Science,Daniel Yergin,QUEST,male
1596986255,D&#39;SOUZA DINESH,History/Law/Political Science,Dinesh D&#39;Souza,THE ROOTS OF OBAMA&#39;S RAGE,male
1594632960,JOHNSON STEVEN,Reference,Steven Johnson,HOW WE GOT TO NOW,male
1400063841,IRVING JOHN,Fiction General,John Irving,LAST NIGHT IN TWISTED RIVER,male
0062220551,WINSPEAR JACQUELINE,Mystery/Detective,Jacqueline Winspear,A DANGEROUS PLACE,female
0399173323,KENNEDY PATRICK J.,Biography/Autobiography/Memoir,Patrick J Kennedy and Stephen Fried,A COMMON STRUGGLE,multi
0385538731,KRAKAUER JON,Nonfiction General,Jon Krakauer,MISSOULA,male
0345528840,MACOMBER DEBBIE,Romance,Debbie Macomber,BLOSSOM STREET BRIDES,female
034551162X,WENDIG CHUCK,Science Fiction,Chuck Wendig,STAR WARS: AFTERMATH,male
006229069X,FACTOR MALLORY,History/Law/Political Science,edited  Mallory Factor and Elizabeth Factor,BIG TENT,multi
1476728208,EVANS RICHARD PAUL,Romance,Richard Paul Evans,THE MISTLETOE PROMISE,male
1594201862,GELLMAN BARTON,History/Law/Political Science,Barton Gellman,ANGLER,male
0393064662,DUBUS ANDRE III,Biography/Autobiography/Memoir,Andre Dubus III,TOWNIE,male
0061941026,LAMB WALLY,Fiction General,Wally Lamb,WE ARE WATER,male
1595230548,HUCKABEE MIKE,History/Law/Political Science,Mike Huckabee,DO THE RIGHT THING,male
0399160760,BOX C. J.,Suspense/Thrillers,C J Box,STONE COLD,male
1401341454,KENNEDY CAROLINE,Reference,selected and introduced  Caroline Kennedy,SHE WALKS IN BEAUTY,female
0385343175,STEEL DANIELLE,Romance,Danielle Steel,HOTEL VENDOME,female
1101875046,BLUME JUDY,Fiction General,Judy Blume,IN THE UNLIKELY EVENT,female
0441020038,BRIGGS PATRICIA,Fantasy,Patricia Briggs,FAIR GAME,female
0425269027,RIVERS JOAN,Humor,Joan Rivers,DIARY OF A MAD DIVA,female
0670022047,MCMILLAN TERRY,Fiction General,Terry McMillan,GETTING TO HAPPY,female
034551128X,LUCENO JAMES,Science Fiction,James Luceno,DARTH PLAGUEIS,male
0670021725,PHILBRICK NATHANIEL,History/Law/Political Science,Nathaniel Philbrick,THE LAST STAND,male
0399156232,PARKER ROBERT B.,Mystery/Detective,Robert B Parker,SPLIT IMAGE,male
0670021253,SORKIN ANDREW ROSS,Business/Economics,Andrew Ross Sorkin,TOO BIG TO FAIL,male
0804138591,GEITHNER TIMOTHY F.,Biography/Autobiography/Memoir,Timothy F Geithner,STRESS TEST,male
1416594884,LE CARRE JOHN,Mystery/Detective,John le Carré,A MOST WANTED MAN,male
039916250X,CUSSLER CLIVE,Action/Adventure,Clive Cussler and Graham Brown,ZERO HOUR,multi
007181695X,RICHARDS JAY W.,Business/Economics,Jay W Richards,INFILTRATED,male
0385342020,KINSELLA SOPHIE,Fiction General,Sophie Kinsella,TWENTIES GIRL,female
1501137964,TRUMP DONALD J.,History/Law/Political Science,Donald J Trump,CRIPPLED AMERICA,male
0399156445,WOODS STUART,Suspense/Thrillers,Stuart Woods,LUCID INTERVALS,male
0451234154,MARTIN RICKY,Biography/Autobiography/Memoir,Ricky Martin,ME,male
038551705X,FRIEDMAN GEORGE,History/Law/Political Science,George Friedman,THE NEXT 100 YEARS,male
0399171274,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter,NEMESIS,female
0316547700,MANCHESTER WILLIAM,Biography/Autobiography/Memoir,William Manchester and Paul Reid,LAST LION,multi
0061493341,CHABON MICHAEL,Fiction General,Michael Chabon,TELEGRAPH AVENUE,male
1416550402,BELL TED,Mystery/Detective,Ted Bell,TSAR,male
1451687869,BUFFETT HOWARD G.,Nonfiction General,Howard G Buffett and Howard W Buffett,40 CHANCES,male
1451664125,IRVING JOHN,Fiction General,John Irving,IN ONE PERSON,male
1455582433,SAVAGE MICHAEL,History/Law/Political Science,Michael Savage,STOP THE COMING CIVIL WAR,male
1591843456,POIZNER STEVE,Biography/Autobiography/Memoir,Steve Poizner,MOUNT PLEASANT,male
0553807153,KOONTZ DEAN R.,Suspense/Thrillers,Dean Koontz,BREATHLESS,male
1594204802,MAZZETTI MARK,History/Law/Political Science,Mark Mazzetti,WAY OF THE KNIFE,male
0061351504,PHILLIPS SUSAN ELIZABETH,Romance,Susan Elizabeth Phillips,WHAT I DID FOR LOVE,female
0547564651,TOUGH PAUL,Nonfiction General,Paul Tough,HOW CHILDREN SUCCEED,male
1400065747,QUINDLEN ANNA,Fiction General,Anna Quindlen,EVERY LAST ONE,female
1594201978,RICKS THOMAS E.,History/Law/Political Science,Thomas E Ricks,THE GAMBLE,male
0767919386,BRYSON BILL,House & Home/Gardening,Bill Bryson,AT HOME,male
0307379051,JOHNSON SIMON,Business/Economics,Simon Johnson and James Kwak,13 BANKERS,multi
0060852577,KINGSOLVER BARBARA,Fiction General,Barbara Kingsolver,THE LACUNA,female
1455502758,HITCHENS CHRISTOPHER,Biography/Autobiography/Memoir,Christopher Hitchens,MORTALITY,male
0345484177,BROOKS TERRY,Fantasy,Terry Brooks,BEARERS OF THE BLACK STAFF (LEGENDS OF SHANNARA),male
0307264238,MORRISON TONI,Fiction General,Toni Morrison,A MERCY,female
160641951X,STEWART CHRIS,History/Law/Political Science,Chris Stewart and Ted Stewart,MIRACLE OF FREEDOM,multi
1595551565,SPEARS LYNNE,Biography/Autobiography/Memoir,Lynne Spears with Lorilee Craker,THROUGH THE STORM,female
0812997573,APATOW JUDD,Humor,Judd Apatow,SICK IN THE HEAD,male
031265121X,JOHANSEN IRIS,Suspense/Thrillers,Iris Johansen,QUINN,female
0399157824,CUSSLER CLIVE,Suspense/Thrillers,Clive Cussler and Graham Brown,DEVIL&#39;S GATE,multi
