ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
037576013X,Modern Library,823/.8,PR4658 .A1 2002,Daniel Deronda,796,New York,59,6.666666667,2002,0,1343,270,138,0,729,0,George Eliot,1897,0
8423919005,Elliot's Books,,,"Cien Años de Soledad/ 100 Years of Solitude (Nueva Austral Series, Vol. 100)",448,,0,167,1982,0,59,0,0,0,0,0,Gabriel Garcia Márquez,778,0
8432216062,Seix Barral,,,El perfume,,Barcelona,0,0,2001,0,1417,204,0,0,0,0,Patrick Süskind,1325,0
1582881847,Science Fiction Book Club,,,Off the Main Sequence,738,"New York, NY",0,167,2005,0,1341,53,0,0,19,0,Robert A. Heinlein,2131,0
074348844X,Baen,,,The Notebooks of Lazarus Long,64,,0,0,2004,0,230,0,0,2,0,0,Robert A. Heinlein,2131,0
1417622857,Tandem Library,,,Salmon Of Doubt,,,0,4,2003,0,656,0,0,0,0,0,Douglas Adams,2158,0
159420120X,The Penguin Press,,,Against the Day,1085,,0,48.14285714,2006,0,1462,0,0,1,0,0,Thomas Pynchon,1382,2
140004314X,A. A. Knopf,813/.54,PS3554.I33 Z63 2005,The year of magical thinking,227,New York,35,4.259259259,2005,0,639,270,345,0,729,667,Joan Didion,548,0
014009735X,Penguin Books,813/.54,PS3551.U77 G46 1987,Ghosts,96,"New York, N.Y., U.S.A",39,10,1987,0,397,8,345,1,0,667,Paul Auster,315,0
038077108X,Avon Books,741.5/973,PN6727.K275 P38 1994,Paul Auster's City of glass,129,New York,0,167,1994,0,1480,270,262,0,729,0,Paul Karasik,1231,0
2742741461,Actes Sud,,,Paul Auster,1075,,0,0,2002,0,319,0,0,0,0,0,Paul Auster,315,0
1886224145,Burning Deck,813/.54,PS3551.U77 Z462 1996,Why write?,58,Providence,0,1,1996,0,674,49,345,0,0,667,Paul Auster,315,0
052138673X,Cambridge University Press,,,The collapse of complex societies.,250,Cambridge,0,0.5,1990,0,860,346,0,0,0,0,Joseph A. Tainter,855,0
034543871X,Ballantine Books,,,The Collapse of the Common Good,272,,0,0,2002,0,449,0,0,59,0,0,Philip K. Howard,1289,0
1599869942,"Filiquarian Publishing, LLC.",,,My Inventions,88,,11.66666667,25.4,2006,0,1426,0,0,0,0,0,Nikola Tesla,1470,0
159413023X,Large Print Press,813/.6,PS3619.E26 L68 2004,The lovely bones,532,"Waterville, ME",0,14.23809524,2004,0,1024,333,287,0,0,205,Alice Sebold,1497,0
3822840858,Taschen,,,1000 Record Covers,576,,0,0,2005,0,438,0,0,0,0,0,Michael Ochs,1715,0
185960515X,Haynes Pub.,,TL444 .C67 2002,Motorcycle basics techbook,,"Sparkford, Nr Yeovil, Somerset, England",0,41.75,2002,0,516,257,0,0,0,0,John Harold Haynes,225,0
1592530877,Rockport Publishers,,,Logo Lounge,192,,0,0,2004,0,733,0,0,0,0,0,,0,0
1592283195,Lyon's Press,823.008/032162,PR1309.S4 G85 2004,The greatest sailing stories ever told,,"Guilford, Conn",0,0.25,2004,0,360,111,420,0,0,0,Christopher Caswell,1092,0
019517013X,Oxford University Press,980,F1413 .S55 2005,Modern Latin America,512,New York,0,80.875,2005,0,152,270,187,0,729,0,Thomas E. Skidmore,498,0
1400079497,Houghton Mifflin Co.,813/.54,PS3568.O855 P58 2004,The Plot Against America,391,"Boston, USA",3.529411765,23.11764706,2004,0,1287,231,345,0,0,667,Philip Roth,846,2
1400034957,Vintage,,,Cronica de una muerte anunciada,128,,0,35,2003,0,902,0,0,0,0,0,Gabriel Garcia Márquez,778,0
140003454X,Vintage Books,863/.64,PQ8180.17.A73 Z47813 2003,Living to tell the tale,533,New York,0,36.72727273,2004,0,940,270,199,0,729,2,Gabriel Garcia Márquez,778,0
1400095808,Vintage Español,,PQ8180.17.A73 M46 2004,Memoria de mis putas tristes,112,"New York, USA",0,1.47826087,2004,0,795,367,0,0,51,0,Gabriel Garcia Márquez,778,0
086171492X,Wisdom Publications,294.3/444,BQ5625 .K65 2005,Pure and simple,252,Boston,0,41.75,2005,0,542,6,228,0,3,0,Kō̜. Khaosūanlūang,1894,0
184353584X,Rough Guides,,,"The Rough Guide London Mini Guide,  Edition 4",352,,0,0,2006,0,343,0,0,0,0,0,Rob Humphreys,1809,0
1740598318,Lonely Planet Publications,,,Lonely Planet London,466,,0,0,2006,0,1050,0,0,0,0,0,,0,0
1740594770,Lonely Planet Publications,,,Lonely Planet Best Of London (Lonely Planet Encounter London),128,,0,0,2004,0,1050,0,0,0,0,0,Sarah Johnstone,1777,0
186450353X,Lonely Planet Publications,,,Lonely Planet London,400,,0,402,2002,0,1050,0,0,0,0,0,Steve Fallon,2122,0
8408064762,Geo-Planeta,,,Lonely Planet Londres (Lonely Planet London),480,,0,0,2006,0,1513,0,0,0,0,0,,0,0
1740592050,Lonely Planet Publications,,,Lonely Planet 2002 Out to Eat London (Out to Eat),295,,0,0,2001,0,1050,0,0,0,0,0,Mark Honan,1906,0
2228894699,Payot,,,"Cryptonomicon, tome 3 ",417,,0,0,2001,0,1632,0,0,0,0,0,Neal Stephenson,169,3
2228894168,Payot,,,"Cryptonomicon, tome 2 ",418,,0,0,2001,0,1632,0,0,0,0,0,Neal Stephenson,169,3
344245302X,Goldmann,,,Snow Crash.,534,,0,12.125,2002,0,1367,0,0,0,0,0,Neal Stephenson,169,3
1880685353,Two Plus Two Pub.,795.412,GV1251 .H236 2004,Harrington on hold 'em,,"Henderson, Nev",0,0,2004,0,399,143,9,0,0,0,Dan Harrington,482,0
1880685337,Two Plus Two Pub.,795.412,GV1251 .H236 2004,Harrington on hold 'em,,"Henderson, Nev",0,0,2004,0,399,143,9,0,0,0,Dan Harrington,482,0
142150460X,Viz Media,,,Fullmetal Alchemist.,176,San Francisco,0,2.5,2006,0,448,201,0,0,1,0,Hiromu Arakawa,1423,0
1591169259,Viz,741.5973,,Fullmetal Alchemist Volume 1,,San Francisco,0,27.375,2005,0,1219,201,369,0,1,0,Hiromu Arakawa,1423,0
1421504596,Viz Media,,,Fullmetal Alchemist.,164,San Francisco,0,2.5,2006,0,448,201,0,0,1,0,Hiromu Arakawa,1423,0
1591169208,Viz,741.5973,,Fullmetal Alchemist Volume 1,,San Francisco,0,27.375,2005,0,1219,201,369,0,1,0,Hiromu Arakawa,1423,0
1591169291,VIZ Media LLC,,,Fullmetal Alchemist Volume 4,200,,0,4.666666667,2005,0,1354,0,0,0,0,0,Hiromu Arakawa,1423,0
006019250X,HarperFlamingo,869.3,PQ9698.13.O3546 A4513 1998,The illustrated Alchemist,198,"New York, NY",0,167,1998,0,1703,53,285,0,19,0,Paulo Coelho,2211,1
1591169232,Viz,741.5/952,PN6790.J33 A74 2005,Fullmetal Alchemist Volume 2,179,San Francisco,0,27.375,2005,0,1219,201,222,0,1,0,Hiromu Arakawa,1423,0
158715739X,Wildside Press,,,The Last Days of Pompeii,360,,0,81.42857143,2003,0,475,0,0,0,0,0,Edward Bulwer Lytton,1067,0
014240120X,Puffin,,,The Westing Game (Puffin Modern Classics),192,,6,20.38461538,2004,0,1639,0,0,0,0,0,Ellen Raskin,2232,0
1400096898,Vintage,,,Memoirs of a Geisha,512,,0,284.5,2005,0,902,0,0,0,0,0,Arthur Golden,1645,0
1557046832,Newmarket Press,791.43/72,PN1997.2.M45 J36 2005,Memoirs of a geisha,144,New York,0,83.5,2005,0,473,270,173,0,729,0,"James, David",1217,0
074343059X,Pocket Books,,,Geisha of Gion,304,,0,0,2003,0,1379,0,0,5,0,0,,0,0
1932664394,Oni Press,,,Love As A Foreign Language #5 (Love as a Foreign Language),64,,0,0,2006,0,457,0,0,0,0,0,,0,0
1416524797,Pocket Books,813/.54,PS3552.R685434 A82 2006,Angels & Demons,713,"New York, USA",0.818181818,20.63793103,2006,0,1379,367,345,5,51,667,Dan Brown,32,2
849561877X,Umbriel,,,Angeles y Demonios/Angels and Demons,508,,0.818181818,20.63793103,2005,0,1092,0,0,0,0,0,Dan Brown,32,2
076792603X,Broadway Books,813/.54,2004055276,The Da Vinci Code,467,"New York, USA",3.214285714,17.96153846,2004,0,479,367,345,0,51,667,Dan Brown,32,2
2266144340,JC Lattes,,,Da Vinci Code,,,3.214285714,17.96153846,,0,506,0,0,0,0,0,Dan Brown,32,2
1416524800,Pocket Books,,,Deception Point,737,"New York, USA",9,21,2006,0,1379,367,0,5,51,0,Dan Brown,32,2
9953299072,al-Dār al-ʻArabīyah lil-ʻulūm,,,Ḥaqīqat al-khadīʻah =,471,"Bayrūt, Lubnān",9,21,2005,0,972,39,0,0,0,0,Dan Brown,32,2
1416524886,Pocket Books,,,Deception Point,736,"New York, USA",9,21,2006,0,1379,367,0,5,51,0,Dan Brown,32,2
078601606X,Pinnacle Books,,CPB Box no. 2376 vol. 19,A killing rain,383,"New York, NY",1,64.33333333,2005,0,1670,53,0,0,19,0,P. J. Parrish,453,0
1585424331,Jeremy P. Tarcher/Penguin,650.1,HF5386 .H57 2005,Think and grow rich,302,New York,0,0.083333333,2005,0,1263,270,239,0,729,0,Napoleon Hill,478,0
1932429239,High Roads Media,,,Think and Grow Rich: The 21st-Century Edition,368,,0,0,2004,0,1033,0,0,0,0,0,Napoleon Hill,478,0
1563410907,Firebrand Books,305.9/066,HQ77.8.W55 A3 1997,Read my lips,,"Ithaca, NY",35,1,1997,0,919,368,175,0,0,0,Riki Anne Wilchins,1175,0
1419349996,Recorded Books,,,Richest Man in Babylon - The Success Secrets of the Ancients,,,0,167,2005,0,1224,0,0,0,0,0,George S. Clason,1298,0
1400098033,Three Rivers Press,813/.54,PS3570.R44 S55 2005,Shibumi,486,New York,0,83.71428571,2005,0,1234,270,345,0,729,667,Trevanian.,2176,0
1565122429,Algonquin Books of Chapel Hill,813/.54,PS3563.O87147 G36 1999,Gap Creek,326,"Chapel Hill, N.C",0,62.8,1999,0,706,29,345,2,0,667,"Morgan, Robert",901,0
1416500189,Pocket Books,,,The Good Earth,415,"New York, USA",6,70.14285714,1958,0,1379,367,0,5,51,0,Pearl S. Buck,426,0
1579546013,Rodale,613/.04244,RA778 .P3167 2005,Body-for-LIFE for women,252,"Emmaus, Penn",0,60.42857143,2005,0,467,7,355,0,0,0,Pamela Peeke,197,0
030723827X,Clarkson Potter,641.5945,TX723 .D326 2006,Giada's family dinners,,New York,0,5.75,2006,0,483,270,94,0,729,0,Giada De Laurentiis,1276,0
1400052580,Clarkson Potter,,,Everyday Italian,255,New York,0,201,2005,0,483,270,0,0,729,0,Giada De Laurentiis,1276,0
1400052386,Clarkson Potter,,,Tyler's Ultimate,256,,0,83.5,2006,0,483,0,0,0,0,0,Tyler Florence,2183,0
1400052378,Clarkson Potter,,,Eat This Book,288,,0,201,2005,0,483,0,0,0,0,0,Tyler Florence,2183,0
8466625127,Ediciones B,,,Freakonomics,250,,1,5.772727273,2006,0,744,0,0,0,0,0,Steven D. Levitt,1194,0
8423335127,Destino Ediciones,,,Vida De Pi,352,,0,0,2003,0,1330,0,0,0,0,0,,0,0
1411677315,Lulu Press,,,A Million Little Pieces of Feces,260,,0,0,2006,0,157,0,0,0,0,0,Python Bonkers,1494,0
1401359299,Miramax Books,,,Leadership Through the Ages,,,0,93.83333333,2003,0,705,0,0,0,0,0,Rudolph W. Giuliani,2192,0
006123205X,HarperAudio,,,"Men are From Mars, Women are From Venus Low Price CD",,,0,167,2007,0,1007,0,0,0,0,0,John Gray,645,0
055338368X,Bantam,,,Gates of Fire,400,,1,16.33333333,2005,0,160,0,0,7,0,0,Steven Pressfield,975,0
038551641X,Doubleday,813/.54,PS3566.R3944 A69 2006,The Afghan campaign,,New York,0,0.333333333,2006,0,1337,270,345,38,729,667,Steven Pressfield,975,0
189031823X,St. Augustine's Press,184,B380 .P51313 2000,Enthusiasm and divine madness,109,"South Bend, Ind",0,0.5,2000,0,1156,4,329,0,0,0,Josef Pieper,1376,0
086516584X,Bolchazy-Carducci,873/.01,PA6802.A1 B65 2004,Vergil's Aeneid,161,"Wauconda, Ill",2,13.10526316,2004,0,1587,30,240,0,0,0,Publius Vergilius Maro,1907,0
067499583X,Harvard University Press,871/.01,PA6807.A1 F35 1999,Virgil,,"Cambridge, Mass",1,17.45454545,1999,0,693,355,86,0,0,0,Publius Vergilius Maro,1907,0
1891190237,Atelos,,PS,City eclogue,136,"Berkeley, CA",0,0,,0,1530,85,0,0,0,0,Ed Roberson,618,0
155832125X,Harvard Common Press,641.5/784,TX840.B3 K454 1998,Paul Kirk's championship barbecue sauces,262,"Boston, Mass",0,0,1998,0,1377,129,376,0,1,0,Paul Kirk,1397,0
1557831572,Applause Books,822.3/3,PR2879 .B67 1994,The Reduced Shakespeare Company's the complete works of William Shakespeare,137,New York,0,135,1994,0,507,270,121,0,729,0,Jess Borgeson,1137,0
006251279X,HarperSanFrancisco,133.4/3,BF1999 .C67413  1995,The pilgrimage,226,[San Francisco],1.666666667,0,1995,0,1208,252,352,0,0,0,Paulo Coelho,2211,1
1590171802,New York Review Books,822/.01,PA3975 .A2 2006,Grief lessons,312,New York,0,0,2006,0,58,270,83,0,729,0,Euripides,1938,0
067499566X,Harvard University Press,882/.01,PA3975 .A2 1998,Suppliant women,455,"Cambridge, Mass",0,20.25,1998,0,693,355,385,0,0,0,Euripides,1938,0
090651598X,Bristol Classical Press,,,Helen,,Bristol,0,47,1981,0,1001,320,0,0,0,0,Euripides,1938,0
071563187X,Duckworth,882/.01,PA3973.M43 A55 2002,Euripides,143,London,0,0,2002,0,619,188,385,0,0,0,"Allan, William",1032,0
019513592X,"Oxford University Press, USA",,,The Oresteia (Greek Tragedy in New Translations),304,,0,167,2004,0,1427,0,0,0,0,0,Aeschylus,68,0
081221627X,University of Pennsylvania Press,882/.01,PA3827 .A657 1998,Aeschylus,,Philadelphia,0,1.75,1998,0,1504,178,385,0,0,0,Aeschylus,68,0
1400041929,Everyman's Library,882/.01,PA3827.A7 T3913 2004,The Oresteia,127,New York,0,35.25,2004,0,763,270,385,0,729,0,Aeschylus,68,0
1419150014,Kessinger Publishing,,,Four Plays Of Aeschylus,208,,0,0,2004,0,937,0,0,0,0,0,Aeschylus,68,0
015602764X,Harvest Books,,,"Sophocles, The Oedipus Cycle",272,,0,402,2002,0,796,0,0,0,0,0,Sophocles,1379,0
1580495931,"Prestwick House, Inc.",,,Oedipus Rex - Literary Touchstone Edition,80,,0,0.142857143,2005,0,97,0,0,0,0,0,Sophocles,1379,0
1416500332,Pocket,,,Oedipus the King,144,,0,0.5,2005,0,696,0,0,1,0,0,Sophocles,1379,0
1585100870,Focus Pub./R. Pullins,882/.01,PA3877 .A6 2003,Acharnians,86,"Newburyport, MA",0.5,5.8,2003,0,1230,223,385,0,0,0,Aristophanes,686,0
1400032717,Vintage Contemporaries,,,The curious incident of the dog in the night-time,226,New York,29.5,9.875,2004,0,188,270,0,0,729,0,Mark Haddon,1029,0
843392463X,Editorial Anagrama,,,"Formas Breves (Narrativas Hispanicas, 293)",142,,0,0,2001,0,983,0,0,0,0,0,Ricardo Piglia,1534,0
8433968777,Editorial Anagrama,,PN3324 .P54 2005,El último lector,190,Barcelona,0,0,2005,0,983,204,0,0,0,0,Ricardo Piglia,1534,0
1862076650,Granta Books,,,Money to burn,256,London,0,0.666666667,2003,0,1100,188,0,0,0,0,Ricardo Piglia,1534,0
8433924710,Editorial Anagrama,,,Respiración artificial,218,Barcelona,2,17,2001,0,983,204,0,0,0,0,Ricardo Piglia,1534,0
8433924621,Editorial Anagrama,,,Plata quemada,227,,0,0,2000,0,983,0,0,0,0,0,Ricardo Piglia,1534,0
8432216429,Planeta,,,El Tunel / The Tunnel,,,0,0.4,2003,0,299,0,0,0,0,0,Ernesto Sabato,916,0
9500716054,Sudamericana,,,Sobre Heroes y Tumbas - Sin Sobrecubierta,,,0,0,1999,0,1501,0,0,0,0,0,Ernesto Sabato,916,0
1565480848,New City Press,,,"The Confessions: Saint Augustine (Works of Saint Augustine, a Translation for the 21st Century: Part 1- Books)",416,,0,0,2002,0,915,0,0,0,0,0,Augustine of Hippo,448,0
1565481240,New City Press,230/.14,BR65.A73 E5 1999,The Augustine catechism,144,"Hyde Park, N.Y",0,55.66666667,1999,0,915,264,21,0,0,0,Augustine of Hippo,448,0
1565482018,New City Press,,,On Genesis,540,,0,0,2004,0,915,0,0,0,0,0,Augustine of Hippo,448,0
8466308954,Santillana USA Publishing Company,,,Confesiones de un chef = Kitchen Confidential,478,,0,0,2002,0,193,0,0,0,0,0,Anthony Bourdain,1837,0
014044789X,Penguin,,PA6522.M2 R33 2004,Metamorphoses,723,London,0.333333333,10.43333333,2004,0,1300,188,0,1,0,0,Ovid,431,0
069101597X,Princeton University Press,,,Dionysiac poetics and Euripides' Bacchae,420,"Princeton, N.J",0,0,1997,0,939,15,0,0,0,0,Charles Segal,2210,0
1857150600,Everyman's Library,,,The Iliad (Everyman's Library Classics),594,,0.666666667,0.37037037,1992,0,763,0,0,0,0,0,Homer,2248,0
1585424838,Jeremy P. Tacher/Penguin,191,BP605.N48 P56 2006,2012,,New York,0,0,2006,0,932,270,258,0,729,0,Daniel Pinchbeck,1044,0
848306667X,Debate Editorial,,,"Armas, germenes y acero/ Guns, Germs and Steel",588,,0,0,2006,0,51,0,0,0,0,0,Jared Diamond,881,0
044657967X,Warner Books,,PS3554.E472 W55 2006,Wild fire,519,New York,0,13.125,2006,0,430,270,0,0,729,0,Nelson DeMille,923,5
037582538X,Knopf,[E],PZ8.3.S577 Wi 2004,Wild about books,,New York,0,0.25,2004,0,1147,270,64,13,729,1,Judy Sierra,513,0
1591583667,Libraries Unlimited,6.7,Z674.75.W67 R83 2007,Crash course in Web design for libraries,196,"Westport, Conn",0,33.4,2007,0,573,35,114,0,0,0,Charles P. Rubenstein,1940,0
014025157X,Penguin Books,791.45/72,PN1992.77.P65 B57 1995,The making of Pride and prejudice,117,London,0,0,1995,0,397,188,349,1,0,0,Sue Birtwistle,1680,0
1593083246,Sterling Publications,,,Pride and Prejudice,432,,7.375,27.67857143,2004,0,1443,0,0,0,0,0,Jane Austen,1451,0
1400032806,Anchor,,,Under the Banner of Heaven,432,,0,0,2004,0,582,0,0,0,0,0,Jon Krakauer,1404,0
067978361X,Modern Library,,G700 1912 .A5 A4313 2000,In the land of white death,205,New York,1,12.28571429,2000,0,1343,270,0,0,729,0,Valerian Ivanovich Alʹbanov,1648,0
8427032226,Planeta,,,La Tierra Es Plana / The World Is Flat,495,,0,0,2006,0,299,0,0,0,0,0,Thomas L. Friedman,378,0
1402714580,Sterling Pub.,[Fic],PZ7.A335 Li 2004,Little women,525,New York,15.5,13.57142857,2004,0,873,270,236,0,729,4,Louisa May Alcott,647,0
1931082731,Library of America,813/.4,PS1016 2005,Little women ; little men ; Jo's boys,1092,New York,2,36.04347826,2005,0,654,270,214,0,729,0,Louisa May Alcott,647,0
1904633277,Collector's Library,,,Little Women,326,,0,0,2004,0,1540,0,0,0,0,0,Louisa May Alcott,647,0
1593081383,Barnes & Noble Classics,,,A Tale of Two Cities,448,"New York, USA",17.57142857,6.571428571,2004,0,1520,367,0,0,51,0,Charles Dickens,466,0
158663352X,Spark Publishing,,,A Tale of Two Cities,85,"New York, USA",24,4.578947368,2002,0,957,367,0,0,51,0,SparkNotes,2002,0
1593080557,Barnes & Noble Classics,823/.8,PR4571 .A1 2003,A tale of two cities,429,New York,17.57142857,6.571428571,2003,0,1520,270,138,0,729,0,Charles Dickens,466,0
1857151437,Everyman's Library,,,A Tale of Two Cities (Everyman's Library Classics),432,,17.57142857,6.571428571,1993,0,763,0,0,0,0,0,Charles Dickens,466,0
079450390X,Usborne Books,,,A Tale of Two Cities,160,"London, England",24,3.8,2004,0,53,268,0,0,0,0,Lucinda Hawksley,936,0
067179227X,Simon & Schuster,,,Den of thieves,587,New York,35,3,1992,0,470,270,0,62,729,0,James B. Stewart,714,0
8483066483,Debate,,,Colapso,747,Barcelona,0,2.542857143,2006,0,1633,204,0,0,0,0,Jared Diamond,881,0
043932162X,Arthur A. Levine Books,,,Harry Potter Schoolbooks Box Set: From the Library of Hogwarts,,,0,0,2001,0,464,0,0,0,0,0,J. K. Rowling,1540,1
1420926713,Digireads.com,,,The Frogs,88,,0,38.23529412,2005,0,1488,0,0,0,0,0,Aristophanes,686,0
1573921335,Prometheus Books,882/.01,PA3877 .E3 1997,Assembly of women =,124,"Amherst, N.Y",0.5,9.333333333,1997,0,447,161,385,0,0,0,Aristophanes,686,0
1853991147,Bristol Classical Press,,PA'3879'C37'1990,Aristophanes and his theatre of the absurd,82,Bristol,0,0,1990,0,1001,320,0,0,0,0,Paul Cartledge,1702,0
1883011086,Library of America,,,Later novels and other writings,1076,New York,28.66666667,49.2,1995,0,654,270,0,0,729,0,Raymond Chandler,1185,0
1883011078,Library of America,813/.52,PS3505.H3224 A6 1995c,Later novels and other writings,1076,New York,28.66666667,49.2,1995,0,654,270,69,0,729,0,Raymond Chandler,1185,0
1421501562,VIZ Media,895.6/35,PL865.A497 I66 2004,Ghost in the shell 2,196,"San Francisco, Calif",0,0.5,2004,0,1067,192,70,0,0,1,Masaki Yamada,1342,0
056352474X,BBC Audiobooks,,,The Long Goodbye,,,28.66666667,29.47619048,2004,0,1531,0,0,0,0,0,Raymond Chandler,1185,0
067003472X,Viking,200,BL2775.3 .D46 2006,Breaking the spell,,New York,0,112.6,2006,0,63,270,250,25,729,0,Daniel C. Dennett,1072,0
068482471X,Simon & Schuster,,,Darwin's Dangerous Idea,586,,0,0,1996,0,470,0,0,62,0,0,Daniel C. Dennett,1072,0
055380202X,Bantam Books,,,The universe in a nutshell,216,New York,0,0,2001,0,121,270,0,24,729,0,Stephen W. Hawking,1478,0
039332446X,W. W. Norton & Company,,,The Future of Spacetime,224,,0,0,2003,0,783,0,0,0,0,0,,0,0
